"Name","SI","Handles","VM","WS","PM","NPM","Path","Company","CPU","FileVersion","ProductVersion","Description","Product","__NounName","BasePriority","ExitCode","HasExited","ExitTime","Handle","SafeHandle","HandleCount","Id","MachineName","MainWindowHandle","MainWindowTitle","MainModule","MaxWorkingSet","MinWorkingSet","Modules","NonpagedSystemMemorySize","NonpagedSystemMemorySize64","PagedMemorySize","PagedMemorySize64","PagedSystemMemorySize","PagedSystemMemorySize64","PeakPagedMemorySize","PeakPagedMemorySize64","PeakWorkingSet","PeakWorkingSet64","PeakVirtualMemorySize","PeakVirtualMemorySize64","PriorityBoostEnabled","PriorityClass","PrivateMemorySize","PrivateMemorySize64","PrivilegedProcessorTime","ProcessName","ProcessorAffinity","Responding","SessionId","StartInfo","StartTime","SynchronizingObject","Threads","TotalProcessorTime","UserProcessorTime","VirtualMemorySize","VirtualMemorySize64","EnableRaisingEvents","StandardInput","StandardOutput","StandardError","WorkingSet","WorkingSet64","Site","Container"
"ApplicationFrameHost","8","488","2203572580352","30945280","19546112","28552","C:\WINDOWS\system32\ApplicationFrameHost.exe","Microsoft Corporation","1.0625","10.0.19041.746 (WinBuild.160101.0800)","10.0.19041.746","Application Frame Host","Microsoft? Windows? Operating System","Process","8",,"False",,"5268","Microsoft.Win32.SafeHandles.SafeProcessHandle","488","1924",".","1050444","Clock","System.Diagnostics.ProcessModule (ApplicationFrameHost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","28552","28552","19546112","19546112","405656","405656","22315008","22315008","37982208","37982208","263315456","2203581538304","True","Normal","19546112","19546112","00:00:00.6406250","ApplicationFrameHost","15","True","8","System.Diagnostics.ProcessStartInfo","22-12-2022 07:58:46",,"System.Diagnostics.ProcessThreadCollection","00:00:01.0625000","00:00:00.4218750","254357504","2203572580352","False",,,,"30945280","30945280",,
"audiodg","0","234","2203416092672","14745600","10043392","14728","C:\WINDOWS\system32\AUDIODG.EXE","Microsoft Corporation","1675.609375","10.0.19041.1 (WinBuild.160101.0800)","10.0.19041.1","Windows Audio Device Graph Isolation ","Microsoft? Windows? Operating System","Process","8",,"False",,"4248","Microsoft.Win32.SafeHandles.SafeProcessHandle","234","11332",".","0","","System.Diagnostics.ProcessModule (AUDIODG.EXE)","11317248","10108928","System.Diagnostics.ProcessModuleCollection","14728","14728","10043392","10043392","113816","113816","10207232","10207232","16191488","16191488","99983360","2203418206208","True","Normal","10043392","10043392","00:18:36.2968750","audiodg","15","True","0","System.Diagnostics.ProcessStartInfo","22-12-2022 08:42:39",,"System.Diagnostics.ProcessThreadCollection","00:27:55.6093750","00:09:19.3125000","97869824","2203416092672","False",,,,"14745600","14745600",,
"BingSvc","8","418","218992640","40538112","23269376","25648","C:\Users\Anindita\AppData\Local\Microsoft\BingSvc\BingSvc.exe","Microsoft Corporation","1.78125","2.0.0.7","2.0.0.7","Microsoft Bing Service","Microsoft Bing Service","Process","8",,"False",,"5220","Microsoft.Win32.SafeHandles.SafeProcessHandle","418","11900",".","0","","System.Diagnostics.ProcessModule (BingSvc.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","25648","25648","23269376","23269376","356736","356736","23347200","23347200","47734784","47734784","229609472","229609472","True","Normal","23269376","23269376","00:00:01.0937500","BingSvc","15","True","8","System.Diagnostics.ProcessStartInfo","22-12-2022 07:44:10",,"System.Diagnostics.ProcessThreadCollection","00:00:01.7812500","00:00:00.6875000","218992640","218992640","False",,,,"40538112","40538112",,
"BingWallpaperApp","8","701","342474752","70901760","29470720","46744","C:\Users\Anindita\AppData\Local\Microsoft\BingWallpaperApp\BingWallpaperApp.exe","Microsoft Corporation","7.828125","2.0.0.0","2.0.0.0","Bing Wallpaper","Bing Wallpaper","Process","8",,"False",,"3372","Microsoft.Win32.SafeHandles.SafeProcessHandle","701","12148",".","0","","System.Diagnostics.ProcessModule (BingWallpaperApp.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","46744","46744","29470720","29470720","554968","554968","42483712","42483712","82690048","82690048","353005568","353005568","True","Normal","29470720","29470720","00:00:03.4062500","BingWallpaperApp","15","True","8","System.Diagnostics.ProcessStartInfo","22-12-2022 07:44:11",,"System.Diagnostics.ProcessThreadCollection","00:00:07.8281250","00:00:04.4218750","342474752","342474752","False",,,,"70901760","70901760",,
"CalculatorApp","8","600","5179637760","1994752","27725824","44344","C:\Program Files\WindowsApps\Microsoft.WindowsCalculator_11.2210.0.0_x64__8wekyb3d8bbwe\CalculatorApp.exe","Microsoft Corporation","1.703125","11.2210.0.0","11.2210.0.0","Calculator","Microsoft Calculator","Process","8",,"False",,"2976","Microsoft.Win32.SafeHandles.SafeProcessHandle","600","7244",".","132376","Calculator","System.Diagnostics.ProcessModule (CalculatorApp.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","44344","44344","27725824","27725824","909016","909016","30171136","30171136","86446080","86446080","887816192","5182783488","True","Normal","27725824","27725824","00:00:00.7343750","CalculatorApp","15","False","8","System.Diagnostics.ProcessStartInfo","22-12-2022 07:59:17",,"System.Diagnostics.ProcessThreadCollection","00:00:01.7031250","00:00:00.9687500","884670464","5179637760","False",,,,"1994752","1994752",,
"chrome","8","315","3485282410496","56442880","27508736","17312","C:\Program Files\Google\Chrome\Application\chrome.exe","Google LLC","4.0625","108.0.5359.125","108.0.5359.125","Google Chrome","Google Chrome","Process","4",,"False",,"5788","Microsoft.Win32.SafeHandles.SafeProcessHandle","315","5596",".","0","","System.Diagnostics.ProcessModule (chrome.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","17312","17312","27508736","27508736","584840","584840","44036096","44036096","83603456","83603456","2087264256","3485305741312","True","Idle","27508736","27508736","00:00:00.6875000","chrome","15","True","8","System.Diagnostics.ProcessStartInfo","22-12-2022 07:51:54",,"System.Diagnostics.ProcessThreadCollection","00:00:04.0625000","00:00:03.3750000","2063933440","3485282410496","False",,,,"56442880","56442880",,
"chrome","8","276","3485281325056","69292032","35667968","16904","C:\Program Files\Google\Chrome\Application\chrome.exe","Google LLC","3.46875","108.0.5359.125","108.0.5359.125","Google Chrome","Google Chrome","Process","4",,"False",,"5372","Microsoft.Win32.SafeHandles.SafeProcessHandle","276","5768",".","0","","System.Diagnostics.ProcessModule (chrome.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","16904","16904","35667968","35667968","582944","582944","38076416","38076416","71593984","71593984","2088013824","3485306490880","True","Idle","35667968","35667968","00:00:00.6875000","chrome","15","True","8","System.Diagnostics.ProcessStartInfo","22-12-2022 16:58:11",,"System.Diagnostics.ProcessThreadCollection","00:00:03.4687500","00:00:02.7812500","2062848000","3485281325056","False",,,,"69292032","69292032",,
"chrome","8","272","3485284888576","39919616","19578880","16496","C:\Program Files\Google\Chrome\Application\chrome.exe","Google LLC","0.53125","108.0.5359.125","108.0.5359.125","Google Chrome","Google Chrome","Process","8",,"False",,"4700","Microsoft.Win32.SafeHandles.SafeProcessHandle","272","8428",".","0","","System.Diagnostics.ProcessModule (chrome.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","16496","16496","19578880","19578880","579440","579440","19910656","19910656","48852992","48852992","2082140160","3485300617216","True","Normal","19578880","19578880","00:00:00.1406250","chrome","15","True","8","System.Diagnostics.ProcessStartInfo","22-12-2022 07:51:40",,"System.Diagnostics.ProcessThreadCollection","00:00:00.5312500","00:00:00.3906250","2066411520","3485284888576","False",,,,"39919616","39919616",,
"chrome","8","1518","2307216052224","164880384","90898432","54504","C:\Program Files\Google\Chrome\Application\chrome.exe","Google LLC","91.328125","108.0.5359.125","108.0.5359.125","Google Chrome","Google Chrome","Process","8",,"False",,"5580","Microsoft.Win32.SafeHandles.SafeProcessHandle","1518","8736",".","394270","HTML TABLE - Google Chrome","System.Diagnostics.ProcessModule (chrome.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","54504","54504","90898432","90898432","1170928","1170928","175869952","175869952","257077248","257077248","968736768","2307366174720","True","Normal","90898432","90898432","00:00:30.5312500","chrome","15","True","8","System.Diagnostics.ProcessStartInfo","22-12-2022 07:51:35",,"System.Diagnostics.ProcessThreadCollection","00:01:31.3281250","00:01:00.7968750","818614272","2307216052224","False",,,,"164880384","164880384",,
"chrome","8","216","3485246087168","31289344","18653184","15136","C:\Program Files\Google\Chrome\Application\chrome.exe","Google LLC","0.15625","108.0.5359.125","108.0.5359.125","Google Chrome","Google Chrome","Process","4",,"False",,"1492","Microsoft.Win32.SafeHandles.SafeProcessHandle","216","9884",".","0","","System.Diagnostics.ProcessModule (chrome.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","15136","15136","18653184","18653184","575560","575560","18849792","18849792","31461376","31461376","394555392","3487907999744","True","Idle","18653184","18653184","00:00:00.1093750","chrome","15","True","8","System.Diagnostics.ProcessStartInfo","22-12-2022 17:03:04",,"System.Diagnostics.ProcessThreadCollection","00:00:00.1562500","00:00:00.0468750","2027610112","3485246087168","False",,,,"31289344","31289344",,
"chrome","8","333","3486373675008","345382912","303947776","18672","C:\Program Files\Google\Chrome\Application\chrome.exe","Google LLC","31.265625","108.0.5359.125","108.0.5359.125","Google Chrome","Google Chrome","Process","4",,"False",,"5272","Microsoft.Win32.SafeHandles.SafeProcessHandle","333","10076",".","0","","System.Diagnostics.ProcessModule (chrome.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","18672","18672","303947776","303947776","576056","576056","431230976","431230976","474918912","474918912","-997232640","3486516211712","True","Idle","303947776","303947776","00:00:03.4218750","chrome","15","True","8","System.Diagnostics.ProcessStartInfo","22-12-2022 11:04:20",,"System.Diagnostics.ProcessThreadCollection","00:00:31.2656250","00:00:27.8437500","-1139769344","3486373675008","False",,,,"345382912","345382912",,
"chrome","8","376","2306860990464","41988096","18464768","26184","C:\Program Files\Google\Chrome\Application\chrome.exe","Google LLC","39.703125","108.0.5359.125","108.0.5359.125","Google Chrome","Google Chrome","Process","8",,"False",,"4976","Microsoft.Win32.SafeHandles.SafeProcessHandle","376","11008",".","0","","System.Diagnostics.ProcessModule (chrome.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","26184","26184","18464768","18464768","644936","644936","22016000","22016000","53469184","53469184","521547776","2306918985728","True","Normal","18464768","18464768","00:00:15.9375000","chrome","15","True","8","System.Diagnostics.ProcessStartInfo","22-12-2022 07:51:37",,"System.Diagnostics.ProcessThreadCollection","00:00:39.7031250","00:00:23.7656250","463552512","2306860990464","False",,,,"41988096","41988096",,
